league,season,window,team_id,team_name,team_country,dir,player_id,player_name,player_age,player_nation,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan,is_loan_end,is_retired,transfer_id,log_transfer_fee,log_market_value,age_sq,buying_club_median_fee,log_buying_club_median,sub_position,foot,height_in_cm,country_of_citizenship,goals_per_90,assists_per_90,pos_AM,pos_CB,pos_CF,pos_CM,pos_DM,pos_GK,pos_LB,pos_LM,pos_LW,pos_RB,pos_RM,pos_RW,pos_SS,league_pair,has_appearance_history,has_buying_club_history
FR1,2017,s,1082,LOSC Lille,France,in,290256,Xeka,22.0,Portugal,CM,1075,SC Braga,Portugal,5000000.0,8000000.0,False,False,False,False,1788725,15.424948470398375,15.89495209964411,484.0,8000000.0,15.89495209964411,Central Midfield,both,185.0,Portugal,0.040449438202247195,0.12134831460674157,False,False,False,True,False,False,False,False,False,False,False,False,False,Portugal_to_France,1,1
FR1,2017,s,1082,LOSC Lille,France,in,126711,Kévin Malcuit,25.0,France,RB,618,AS Saint-Étienne,France,9000000.0,3500000.0,False,False,False,False,1827265,16.012735135300492,15.068273526459642,625.0,5500000.0,15.520258650202699,Right-Back,right,178.0,France,0.0,0.13089005235602094,False,False,False,False,False,False,False,False,False,True,False,False,False,France_to_France,1,1
FR1,2017,s,1082,LOSC Lille,France,in,135617,Thiago Mendes,25.0,Brazil,DM,585,São Paulo Futebol Clube,Brazil,9000000.0,15000000.0,False,False,False,False,1816365,16.012735135300492,16.523560759066484,625.0,6750000.0,15.725053062848712,Defensive Midfield,right,177.0,Brazil,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,Brazil_to_France,0,1
FR1,2017,s,1082,LOSC Lille,France,in,435485,Luiz Araújo,21.0,Brazil,RW,585,São Paulo Futebol Clube,Brazil,10500000.0,10000000.0,False,False,False,False,1793442,16.166885815127753,16.11809565095832,441.0,6750000.0,15.725053062848712,Right Winger,left,175.0,Brazil,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,Brazil_to_France,0,1
FR1,2017,s,1082,LOSC Lille,France,in,294873,Thiago Maia,20.0,Brazil,DM,221,Santos FC,Brazil,14000000.0,3000000.0,False,False,False,False,1841236,16.454567887579532,14.914122846632385,400.0,7500000.0,15.830413578506539,Defensive Midfield,left,179.0,Brazil,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,Brazil_to_France,0,1
FR1,2017,s,1082,LOSC Lille,France,in,343052,Nicolas Pépé,22.0,Cote d'Ivoire,RW,1420,SCO Angers,France,18000000.0,35000000.0,False,False,False,False,1801730,16.70588231586044,17.37085861945369,484.0,2000000.0,14.508657738524219,Right Winger,left,183.0,Cote d'Ivoire,0.20626432391138275,0.06875477463712758,False,False,False,False,False,False,False,False,False,False,False,True,False,France_to_France,1,1
GB1,2017,s,31,Liverpool FC,England,in,148455,Mohamed Salah,25.0,Egypt,RW,12,AS Roma,Italy,42000000.0,100000000.0,False,False,False,False,1803721,17.553180176247643,18.420680743952367,625.0,4000000.0,15.201804919084164,Right Winger,left,175.0,Egypt,0.4519433564326604,0.26212714673094306,False,False,False,False,False,False,False,False,False,False,False,True,False,Italy_to_England,1,1
GB1,2017,s,31,Liverpool FC,England,in,143424,Alex Oxlade-Chamberlain,24.0,England,CM,11,Arsenal FC,England,38000000.0,18000000.0,False,False,False,False,1899345,17.45309671769066,16.70588231586044,576.0,11000000.0,16.213405830762646,Central Midfield,right,180.0,England,0.12870933142652843,0.3003217733285663,False,False,False,True,False,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,s,29,Everton FC,England,in,199369,Sandro Ramírez,21.0,Spain,CF,1084,Málaga CF,Spain,6000000.0,3500000.0,False,False,False,False,1820421,15.60727002719233,15.068273526459642,441.0,8000000.0,15.89495209964411,Centre-Forward,right,174.0,Spain,0.5889046941678521,0.17923186344238975,False,False,True,False,False,False,False,False,False,False,False,False,False,Spain_to_England,1,1
GB1,2017,s,11,Arsenal FC,England,in,93720,Alexandre Lacazette,26.0,France,CF,1041,Olympique Lyon,France,53000000.0,22000000.0,False,False,False,False,1823210,17.785802471516394,16.90655301132259,676.0,3400000.0,15.03928598958639,Centre-Forward,right,175.0,France,0.5759913870446797,0.1668760093307016,False,False,True,False,False,False,False,False,False,False,False,False,False,France_to_England,1,1
GB1,2017,s,1237,Brighton & Hove Albion,England,in,128969,Mathew Ryan,25.0,Australia,GK,1049,Valencia CF,Spain,6000000.0,6000000.0,False,False,False,False,1795204,15.60727002719233,15.60727002719233,625.0,10000000.0,16.11809565095832,Goalkeeper,right,184.0,Australia,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,Spain_to_England,1,1
GB1,2017,s,1237,Brighton & Hove Albion,England,in,79027,Davy Pröpper,25.0,Netherlands,CM,383,PSV Eindhoven,Netherlands,13000000.0,6000000.0,False,False,False,False,1870451,16.38045991542581,15.60727002719233,625.0,4300000.0,15.27412558066379,Central Midfield,right,185.0,Netherlands,0.2210371202020911,0.18946038874464952,False,False,False,True,False,False,False,False,False,False,False,False,False,Netherlands_to_England,1,1
GB1,2017,s,1237,Brighton & Hove Albion,England,in,147094,José Izquierdo,25.0,Colombia,LW,2282,Club Brugge KV,Belgium,14500000.0,3000000.0,False,False,False,False,1882267,16.489659207390805,14.914122846632385,625.0,5000000.0,15.424948470398375,Left Winger,right,171.0,Colombia,0.4473161033797217,0.21471172962226642,False,False,False,False,False,False,False,False,True,False,False,False,False,Belgium_to_England,1,1
GB1,2017,s,762,Newcastle United,England,in,162029,Javier Manquillo,23.0,Spain,RB,13,Atlético de Madrid,Spain,5000000.0,3000000.0,False,False,False,False,1847607,15.424948470398375,14.914122846632385,529.0,11000000.0,16.213405830762646,Right-Back,right,178.0,Spain,0.012905075996558645,0.06452537998279323,False,False,False,False,False,False,False,False,False,True,False,False,False,Spain_to_England,1,1
GB1,2017,s,762,Newcastle United,England,in,81999,Joselu,27.0,Spain,CF,512,Stoke City,England,5500000.0,6000000.0,False,False,False,False,1881930,15.520258650202699,15.60727002719233,729.0,8000000.0,15.89495209964411,Centre-Forward,right,191.0,Spain,0.39777878513145964,0.1325929283771532,False,False,True,False,False,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,s,762,Newcastle United,England,in,186997,Christian Atsu,25.0,Ghana,LW,631,Chelsea FC,England,7500000.0,1500000.0,False,False,False,False,1773377,15.830413578506539,14.22097566607244,625.0,6950000.0,15.754252217540975,Left Winger,left,165.0,Ghana,0.18508997429305912,0.23136246786632392,False,False,False,False,False,False,False,False,True,False,False,False,False,England_to_England,1,1
GB1,2017,s,762,Newcastle United,England,in,127108,Florian Lejeune,26.0,France,CB,1533,SD Eibar,Spain,10000000.0,3000000.0,False,False,False,False,1821091,16.11809565095832,14.914122846632385,676.0,4099999.999999999,15.226497531674536,Centre-Back,right,190.0,France,0.022244191794364803,0.022244191794364803,False,True,False,False,False,False,False,False,False,False,False,False,False,Spain_to_England,1,0
GB1,2017,s,762,Newcastle United,England,in,199527,Jacob Murphy,22.0,England,RW,1123,Norwich City,England,11300000.0,5000000.0,False,False,False,False,1843964,16.240313283682568,15.424948470398375,484.0,8425000.0,15.9467140342027,Right Winger,right,179.0,England,0.8910891089108911,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,England_to_England,1,1
GB1,2017,s,1010,Watford FC,England,in,170472,Dimitri Foulquier,24.0,Guadeloupe,RB,16795,Granada CF,Spain,2000000.0,2500000.0,False,False,False,False,1893938,14.508657738524219,14.73180128983843,576.0,2900000.0,14.880221294956703,Right-Back,right,183.0,Guadeloupe,0.012213326095806758,0.048853304383227034,False,False,False,False,False,False,False,False,False,True,False,False,False,Spain_to_England,1,1
GB1,2017,s,1010,Watford FC,England,in,92899,Marvin Zeegelaar,27.0,Netherlands,LB,336,Sporting CP,Portugal,3000000.0,1200000.0,False,False,False,False,1900050,14.914122846632385,13.997832114758229,729.0,6000000.0,15.60727002719233,Left-Back,left,186.0,,0.052785923753665684,0.0844574780058651,False,False,False,False,False,False,True,False,False,False,False,False,False,Portugal_to_England,1,1
GB1,2017,s,1010,Watford FC,England,in,128900,Nathaniel Chalobah,22.0,England,DM,631,Chelsea FC,England,6300000.0,5000000.0,False,False,False,False,1835137,15.65606019136176,15.424948470398375,484.0,6950000.0,15.754252217540975,Defensive Midfield,right,185.0,England,0.07120253164556962,0.14240506329113925,False,False,False,False,True,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,s,1010,Watford FC,England,in,207014,Will Hughes,22.0,England,CM,22,Derby County,England,9100000.0,7000000.0,False,False,False,False,1806929,16.02378497148708,15.761420707019587,484.0,1620000.0,14.297936707208567,Central Midfield,left,185.0,England,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,England_to_England,0,1
GB1,2017,s,1010,Watford FC,England,in,73484,Tom Cleverley,27.0,England,CM,29,Everton FC,England,9300000.0,3000000.0,False,False,False,False,1737537,16.045524958123483,14.914122846632385,729.0,15000000.0,16.523560759066484,Central Midfield,right,175.0,England,0.0734094616639478,0.09787928221859707,False,False,False,True,False,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,s,1010,Watford FC,England,in,378710,Richarlison,20.0,Brazil,CF,2462,Fluminense Football Club,Brazil,12400000.0,55000000.0,False,False,False,False,1871777,16.333207030575267,17.822843743196746,400.0,4700000.0,15.363073066680286,Centre-Forward,right,184.0,Brazil,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,Brazil_to_England,0,1
GB1,2017,s,1010,Watford FC,England,in,120565,Andre Gray,26.0,Jamaica,CF,1132,Burnley FC,England,20400000.0,4000000.0,False,False,False,False,1873441,16.831045458814444,15.201804919084164,676.0,7750000.0,15.86320340132953,Centre-Forward,right,178.0,Jamaica,0.3683995088006549,0.11051985264019648,False,False,True,False,False,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,s,1237,Brighton & Hove Albion,England,in,31514,Markus Suttner,30.0,Austria,LB,4795,FC Ingolstadt 04,Germany,4500000.0,600000.0,False,False,False,False,1833495,15.319587954740548,13.304684934198283,900.0,900000.0,13.710150042306449,Left-Back,left,179.0,Austria,0.08393564933550944,0.10491956166938679,False,False,False,False,False,False,True,False,False,False,False,False,False,Germany_to_England,1,1
GB1,2017,s,1132,Burnley FC,England,in,15773,Phil Bardsley,32.0,Scotland,RB,512,Stoke City,England,840000.0,300000.0,False,False,False,False,1853519,13.641157170819497,12.611537753638338,1024.0,8000000.0,15.89495209964411,Right-Back,right,180.0,Scotland,0.0336784333291755,0.044904577772234,False,False,False,False,False,False,False,False,False,True,False,False,False,England_to_England,1,1
GB1,2017,s,1237,Brighton & Hove Albion,England,in,82873,Pascal Groß,26.0,Germany,CM,4795,FC Ingolstadt 04,Germany,3000000.0,7000000.0,False,False,False,False,1769196,14.914122846632385,15.761420707019587,676.0,900000.0,13.710150042306449,Central Midfield,right,181.0,Germany,0.09163414220261328,0.18326828440522655,False,False,False,True,False,False,False,False,False,False,False,False,False,Germany_to_England,1,1
GB1,2017,s,1237,Brighton & Hove Albion,England,in,242078,Ales Mateju,21.0,Czech Republic,RB,941,FC Viktoria Plzen,Czech Republic,2500000.0,1000000.0,False,False,False,False,1867799,14.73180128983843,13.815510557964274,441.0,3500000.0,15.068273526459642,Right-Back,right,185.0,Czech Republic,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,Czech Republic_to_England,0,1
GB1,2017,w,281,Manchester City,England,in,176553,Aymeric Laporte,23.0,Spain,CB,621,Athletic Bilbao,Spain,65000000.0,45000000.0,False,False,False,False,2018406,17.98989782785991,17.622173047734595,529.0,4099999.999999999,15.226497531674536,Centre-Back,left,191.0,Spain,0.048771676300578035,0.01625722543352601,False,True,False,False,False,False,False,False,False,False,False,False,False,Spain_to_England,1,0
GB1,2017,w,148,Tottenham Hotspur,England,in,77100,Lucas Moura,25.0,Brazil,RW,583,Paris Saint-Germain,France,28400000.0,25000000.0,False,False,False,False,2023114,17.161899703131436,17.034386382832476,625.0,7000000.0,15.761420707019587,Right Winger,right,172.0,Brazil,0.2824667062515905,0.2824667062515905,False,False,False,False,False,False,False,False,False,False,False,True,False,France_to_England,1,1
GB1,2017,w,631,Chelsea FC,England,in,131978,Ross Barkley,24.0,England,CM,29,Everton FC,England,16800000.0,17000000.0,False,False,False,False,1992708,16.636889444373487,16.64872390202049,576.0,15000000.0,16.523560759066484,Central Midfield,right,189.0,England,0.18580645161290324,0.19354838709677422,False,False,False,True,False,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,w,631,Chelsea FC,England,in,82442,Olivier Giroud,31.0,France,CF,11,Arsenal FC,England,17000000.0,4000000.0,False,False,False,False,2022926,16.64872390202049,15.201804919084164,961.0,11000000.0,16.213405830762646,Centre-Forward,left,192.0,France,0.5970974429854873,0.2425708362128542,False,False,True,False,False,False,False,False,False,False,False,False,False,England_to_England,1,1
GB1,2017,w,631,Chelsea FC,England,in,181778,Emerson,23.0,Italy,LB,12,AS Roma,Italy,20000000.0,14000000.0,False,False,False,False,2021651,16.811242831518264,16.454567887579532,529.0,4000000.0,15.201804919084164,Left-Back,left,176.0,Italy,0.05921052631578947,0.029605263157894735,False,False,False,False,False,False,True,False,False,False,False,False,False,Italy_to_England,1,1
GB1,2017,s,1110,Huddersfield Town,England,in,49501,Elias Kachunga,25.0,DR Congo,RW,4795,FC Ingolstadt 04,Germany,1300000.0,800000.0,False,False,False,False,1732719,14.077874822431765,13.592367006650065,625.0,900000.0,13.710150042306449,Centre-Forward,right,178.0,DR Congo,0.19629225736095965,0.13086150490730644,False,False,False,False,False,False,False,False,False,False,False,True,False,Germany_to_England,1,1
GB1,2017,s,1110,Huddersfield Town,England,in,340394,Abdelhamid Sabiri,20.0,Germany,AM,4,1.FC Nuremberg,Germany,1500000.0,2000000.0,False,False,False,False,1890441,14.22097566607244,14.508657738524219,400.0,2200000.0,14.603967918328545,Attacking Midfield,right,186.0,Morocco,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,Germany_to_England,0,1
GB1,2017,s,1110,Huddersfield Town,England,in,52059,Zanka,27.0,Denmark,CB,190,FC Copenhagen,Denmark,2700000.0,1500000.0,False,False,False,False,1825042,14.808762330974558,14.22097566607244,729.0,4000000.0,15.201804919084164,Centre-Back,right,189.0,Denmark,0.08790493244343155,0.014650822073905258,False,True,False,False,False,False,False,False,False,False,False,False,False,Denmark_to_England,1,1
GB1,2017,s,1110,Huddersfield Town,England,in,90583,Laurent Depoitre,28.0,Belgium,CF,720,FC Porto,Portugal,3800000.0,1000000.0,False,False,False,False,1805410,15.150511624696614,13.815510557964274,784.0,15600000.0,16.562781472219765,Centre-Forward,right,191.0,Belgium,0.3583061889250815,0.19543973941368079,False,False,True,False,False,False,False,False,False,False,False,False,False,Portugal_to_England,1,1
GB1,2017,s,1110,Huddersfield Town,England,in,101682,Scott Malone,26.0,England,LB,931,Fulham FC,England,3900000.0,2000000.0,False,False,False,False,1823271,15.176487111099874,14.508657738524219,676.0,7100000.0,15.775605342011543,Left-Back,left,189.0,England,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,England_to_England,0,1
